iter	RMSE
0	10.43243951
1	9.984227982
2	9.546299592
3	9.141389168
4	8.743962424
5	8.384083547
6	8.023013971
7	7.690358128
8	7.378111917
9	7.08287718
10	6.819099929
11	6.570425024
12	6.314019764
13	6.079727618
14	5.844403938
15	5.627995648
16	5.415464005
17	5.218192113
18	5.038317017
19	4.862373836
20	4.696176238
21	4.53779799
22	4.382470021
23	4.248376916
24	4.114333322
25	3.989038172
26	3.869751169
27	3.754696266
28	3.641834733
29	3.545484735
30	3.449873747
31	3.355391042
32	3.266675148
33	3.1843561
34	3.111525479
35	3.033785302
36	2.960547932
37	2.88707846
38	2.821699363
39	2.759054407
40	2.705021324
41	2.644393816
42	2.594515012
43	2.544520835
44	2.494851824
45	2.454935315
46	2.410494595
47	2.369664145
48	2.33570014
49	2.297515208
50	2.262081051
51	2.230687578
52	2.199526817
53	2.172203623
54	2.143989323
55	2.116545615
56	2.091157228
57	2.065640658
58	2.043130251
59	2.020838742
60	2.000162069
61	1.980755147
62	1.958396594
63	1.938870087
64	1.922784585
65	1.907778079
66	1.891153375
67	1.874986019
68	1.858125859
69	1.843493445
70	1.830171565
71	1.817161739
72	1.804906701
73	1.792737683
74	1.780590358
75	1.771163612
76	1.760841841
77	1.7506367
78	1.740383645
79	1.731326867
80	1.723210111
81	1.715539984
82	1.707090414
83	1.698565821
84	1.691161584
85	1.685314991
86	1.677744964
87	1.670422468
88	1.665425496
89	1.658715253
90	1.652654401
91	1.647526034
92	1.642156923
93	1.636504283
94	1.631571679
95	1.627120664
96	1.623188461
97	1.618315592
98	1.614371967
99	1.610442593
100	1.606153704
101	1.602406008
102	1.599151227
103	1.595789213
104	1.59279683
105	1.589187622
106	1.585730282
107	1.582662216
108	1.579745453
109	1.576867386
110	1.574589945
111	1.572417486
112	1.57006588
113	1.56773538
114	1.565438205
115	1.563753647
116	1.561832888
117	1.559912846
118	1.55789593
119	1.556281492
120	1.554675754
121	1.553162865
122	1.551351979
123	1.54995626
124	1.548334307
125	1.547137029
126	1.545418456
127	1.543773702
128	1.542338991
129	1.540652387
130	1.539175689
131	1.537715069
132	1.536446412
133	1.535244877
134	1.534016761
135	1.532647821
136	1.531575178
137	1.530523111
138	1.529537531
139	1.528390783
140	1.527274275
141	1.526543881
142	1.525418967
143	1.524267934
144	1.523507694
145	1.522683199
146	1.521738734
147	1.520865745
148	1.519931776
149	1.519010291
150	1.517938646
151	1.517105853
152	1.516143695
153	1.515260403
154	1.514580063
155	1.513946434
156	1.512967511
157	1.512175953
158	1.511523241
159	1.510722011
160	1.510064508
161	1.509285694
162	1.508789592
163	1.507845394
164	1.507208585
165	1.506239903
166	1.505522888
167	1.504864546
168	1.504448585
169	1.503537663
170	1.502607206
171	1.50155573
172	1.500941113
173	1.500450706
174	1.499857644
175	1.499188166
176	1.498336612
177	1.497377099
178	1.496549155
179	1.496042888
180	1.495452219
181	1.49457264
182	1.493988188
183	1.493394486
184	1.492834611
185	1.492155653
186	1.491321997
187	1.490816405
188	1.490111077
189	1.489633798
190	1.489068443
191	1.48830298
192	1.487424032
193	1.486523492
194	1.486068961
195	1.48536898
196	1.484689599
197	1.484218693
198	1.483893309
199	1.483144086
200	1.482352406
201	1.481786446
202	1.481215241
203	1.480870196
204	1.480226661
205	1.479631482
206	1.479225502
207	1.478633175
208	1.477924237
209	1.477292375
210	1.476612697
211	1.47593142
212	1.475546627
213	1.475038323
214	1.474589445
215	1.474085249
216	1.473278158
217	1.472864259
218	1.472181415
219	1.471616606
220	1.471180194
221	1.470693842
222	1.469894485
223	1.46926278
224	1.468794796
225	1.468260759
226	1.467646798
227	1.467164387
228	1.46663961
229	1.465944465
230	1.465304212
231	1.464761894
232	1.464059177
233	1.463578598
234	1.463006908
235	1.462404835
236	1.461755931
237	1.461097734
238	1.460541659
239	1.460108679
240	1.459679576
241	1.458970529
242	1.458561024
243	1.457915776
244	1.457349279
245	1.456962786
246	1.456477231
247	1.455801176
248	1.45533928
249	1.454859177
250	1.454324317
251	1.453816893
252	1.453090094
253	1.4522572
254	1.451984168
255	1.451398157
256	1.450951303
257	1.450398382
258	1.449963887
259	1.449585236
260	1.449278457
261	1.448716719
262	1.448050832
263	1.447538465
264	1.447043738
265	1.446567146
266	1.446012086
267	1.44560714
268	1.445318121
269	1.444885684
270	1.444176114
271	1.443612613
272	1.443162855
273	1.442527339
274	1.442034927
275	1.441461106
276	1.440922348
