iter	Passed	Remaining
0	133	133611
1	137	68470
2	141	47010
3	146	36385
4	150	30041
5	154	25672
6	159	22617
7	164	20424
8	168	18505
9	171	16945
10	175	15813
11	178	14681
12	180	13707
13	182	12868
14	184	12129
15	186	11478
16	189	10985
17	192	10511
18	194	10048
19	196	9633
20	198	9252
21	200	8915
22	202	8621
23	205	8350
24	207	8103
25	209	7864
26	212	7643
27	214	7437
28	216	7237
29	218	7054
30	221	6918
31	223	6761
32	225	6613
33	227	6470
34	229	6338
35	232	6215
36	234	6108
37	237	6020
38	240	5914
39	242	5810
40	244	5715
41	246	5629
42	248	5541
43	251	5465
44	253	5386
45	256	5314
46	258	5237
47	260	5163
48	262	5093
49	264	5030
50	266	4966
51	269	4905
52	271	4847
53	273	4788
54	275	4731
55	277	4677
56	279	4625
57	282	4584
58	284	4539
59	286	4491
60	288	4442
61	291	4416
62	294	4383
63	297	4347
64	299	4311
65	301	4273
66	303	4232
67	306	4195
68	308	4158
69	310	4130
70	313	4103
71	316	4072
72	318	4039
73	320	4005
74	322	3974
75	324	3942
76	326	3912
77	329	3889
78	331	3861
79	333	3833
80	335	3807
81	337	3780
82	339	3753
83	341	3729
84	344	3710
85	346	3686
86	349	3665
87	351	3640
88	352	3612
89	355	3590
90	357	3571
91	361	3572
92	364	3554
93	366	3534
94	368	3513
95	371	3494
96	373	3473
97	375	3457
98	377	3437
99	380	3420
100	382	3402
101	384	3384
102	386	3364
103	388	3349
104	391	3335
105	393	3321
106	395	3303
107	398	3287
108	400	3270
109	402	3254
110	404	3240
111	406	3225
112	409	3210
113	411	3198
114	413	3185
115	416	3170
116	418	3156
117	420	3142
118	423	3132
119	426	3125
120	428	3112
121	430	3098
122	432	3084
123	434	3072
124	437	3060
125	439	3049
126	442	3039
127	444	3027
128	446	3014
129	448	3001
130	450	2989
131	452	2977
132	455	2969
133	457	2958
134	460	2949
135	462	2937
136	464	2926
137	466	2914
138	468	2903
139	471	2893
140	473	2886
141	476	2877
142	478	2865
143	480	2855
144	482	2845
145	484	2834
146	487	2826
147	489	2818
148	491	2808
149	493	2798
150	496	2790
151	498	2782
152	501	2773
153	503	2768
154	506	2762
155	509	2754
156	511	2745
157	513	2736
158	515	2728
159	519	2726
160	522	2720
161	524	2714
162	527	2710
163	530	2703
164	533	2697
165	535	2692
166	538	2686
167	540	2678
168	543	2671
169	545	2662
170	548	2658
171	550	2652
172	553	2646
173	556	2642
174	559	2635
175	561	2627
176	563	2619
177	566	2614
178	568	2606
179	570	2598
180	572	2590
181	574	2583
182	577	2576
183	579	2569
184	581	2562
185	584	2556
186	586	2549
187	588	2542
188	590	2534
189	592	2525
190	594	2518
191	596	2512
192	599	2507
193	601	2500
194	603	2492
195	605	2485
196	608	2478
197	610	2471
198	612	2464
199	615	2461
200	617	2455
201	620	2449
202	622	2443
203	624	2436
204	626	2428
205	628	2424
206	631	2420
207	633	2413
208	635	2406
209	638	2400
210	640	2394
211	642	2387
212	644	2382
213	647	2376
214	649	2371
215	651	2365
216	654	2360
217	656	2354
218	658	2348
219	660	2342
220	663	2337
221	665	2332
222	667	2325
223	669	2319
224	671	2313
225	673	2306
226	676	2302
227	678	2297
228	680	2291
229	683	2287
230	685	2282
231	687	2275
232	689	2270
233	692	2265
234	694	2261
235	696	2255
236	699	2250
237	701	2245
238	703	2240
239	705	2234
240	708	2230
241	710	2225
242	712	2220
243	714	2214
244	717	2209
245	719	2203
246	721	2198
247	723	2195
248	726	2189
249	728	2184
250	730	2179
251	732	2173
252	734	2168
253	737	2164
254	739	2161
255	742	2156
256	744	2152
257	746	2147
258	749	2142
259	751	2137
260	753	2132
261	755	2128
262	757	2123
263	760	2118
264	762	2114
265	764	2109
266	766	2104
267	768	2099
268	771	2095
269	773	2091
270	775	2086
271	778	2082
272	780	2077
273	782	2073
274	784	2069
275	787	2065
276	789	2060
277	791	2056
278	793	2051
279	796	2047
280	798	2043
281	800	2038
282	803	2035
283	805	2031
284	808	2027
285	810	2022
286	812	2018
287	814	2013
288	817	2010
289	819	2006
290	822	2002
291	824	1998
292	826	1994
293	828	1990
294	831	1986
295	833	1982
296	835	1978
297	837	1973
298	839	1969
299	842	1964
300	844	1960
301	846	1956
302	848	1952
303	851	1949
304	853	1945
305	856	1942
306	858	1938
307	860	1933
308	862	1929
309	865	1925
310	868	1923
311	870	1919
312	872	1914
313	874	1910
314	876	1906
315	878	1902
316	881	1899
317	883	1895
318	886	1891
319	888	1887
320	890	1883
321	892	1878
322	894	1874
323	897	1871
324	899	1867
325	901	1864
326	904	1860
327	906	1856
